loss,accuracy,val_loss,val_accuracy
0.3455713391304016,0.9166220426559448,9.590173721313477,0.2961028516292572
0.13690970838069916,0.9772362112998962,56.81805419921875,0.2961028516292572
0.11818370968103409,0.9792894124984741,3.299213409423828,0.576134979724884
0.07101861387491226,0.9893769025802612,2.3667662143707275,0.8356769680976868
0.05956248939037323,0.9909837245941162,0.08392128348350525,0.9883487224578857
0.03636110574007034,0.9953579902648926,0.022110093384981155,0.999196469783783
0.026476213708519936,0.9976789951324463,0.446007639169693,0.8995580673217773
0.050714604556560516,0.9889305233955383,0.2295195311307907,0.9433507323265076
0.046445317566394806,0.9906266927719116,0.09183017909526825,0.9762957096099854
0.013656504452228546,0.9995536804199219,0.009930966421961784,1.0
