loss,accuracy,val_loss,val_accuracy
0.4465043842792511,0.8405641913414001,0.14660704135894775,0.9537966847419739
0.17416715621948242,0.9383145570755005,0.12636394798755646,0.9586179256439209
0.12442774325609207,0.954561710357666,0.12215690314769745,0.9541984796524048
0.10065943747758865,0.9657204151153564,0.10450007021427155,0.963840901851654
0.08342240005731583,0.9710766077041626,0.06867308169603348,0.9775009751319885
0.07303494215011597,0.9737547039985657,0.08226477354764938,0.9666532874107361
0.07336657494306564,0.9727727174758911,0.17909693717956543,0.9349136352539062
0.07412739098072052,0.9733976125717163,0.1018127053976059,0.963840901851654
0.06406185030937195,0.9764328002929688,0.05892638862133026,0.9803133606910706
0.06437096744775772,0.9794679284095764,0.04289034754037857,0.9863398671150208
